Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Ferroviária - Remo 2:1,Brazil. Serie C,16/7/2024,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC - Remo 3:1,Brazil. Serie C,25/6/2024,RCB3,13,5,3,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Remo - Ypiranga Erechim 1:0,Brazil. Serie C,16/6/2024,CF,27,14,6,0,0,0,0,0,6,5,0,0,1,1,0,0,6,1,1,0,0,3,0,1,0,74,0
Remo - São Bernardo FC 0:1,Brazil. Serie C,10/6/2024,CF,17,9,3,0,0,0,0,0,1,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
Sampaio Corrêa - Remo 1:2,Brazil. Serie C,1/6/2024,CF,35,19,11,0,0,0,0,0,7,7,0,0,0,0,1,1,8,3,2,0,0,4,2,0,0,70,0
Remo - Tombense 0:0,Brazil. Serie C,19/5/2024,CF,103,31,10,0,0,2,1,0.86,4,4,0,0,0,0,1,0,16,4,6,1,2,7,1,0,0,0,0
Remo - Floresta EC 1:0,Brazil. Serie C,13/5/2024,CF,99,37,13,0,0,1,0,0.05,11,7,0,0,1,0,3,3,18,6,7,2,0,10,2,1,1,0,0
Athletic Club - Remo 3:1,Brazil. Serie C,28/4/2024,CF,62,27,7,0,0,0,0,0,4,4,0,0,0,0,2,1,16,2,8,0,0,10,5,0,0,0,0
Remo - Volta Redonda 1:2,Brazil. Serie C,20/4/2024,CF,52,20,10,0,0,0,0,0,5,5,0,0,0,0,0,0,13,5,9,5,0,4,1,3,2,0,0
Paysandu - Remo 1:1,Brazil. Paraense,14/4/2024,CF,36,22,9,0,0,2,0,0.48,4,4,0,0,0,0,2,2,12,5,1,0,0,3,0,0,0,0,0
Remo - Paysandu 1:1 (P),Brazil. Copa Verde,11/4/2024,CF,75,33,8,0,0,0,0,0,8,4,0,0,0,0,3,0,19,4,7,2,0,5,1,1,0,0,0
Remo - Paysandu 0:2,Brazil. Paraense,7/4/2024,CF,42,23,11,0,0,1,1,0.27,7,7,0,0,0,0,0,0,11,3,4,0,1,4,3,0,0,0,0
Paysandu - Remo 0:0,Brazil. Copa Verde,4/4/2024,CF,65,32,10,0,0,5,0,0.9,8,7,0,0,0,0,3,2,12,3,2,1,0,4,0,1,1,0,0
